DATE,TIME,STATUS,LONGITURE,LATITUDE
07.12.2015,07:46:06,CUSTOMER_CANCEL_AFTER_TRIP,-71.054216,42.335335
07.12.2015,10:44:30,CUSTOMER_CANCEL_AFTER_TRIP,-71.078666,42.341489
07.12.2015,17:24:32,CUSTOMER_CANCEL_AFTER_TRIP,-71.077256,42.321938
08.12.2015,12:17:12,CUSTOMER_CANCEL_AFTER_TRIP,-71.124987,42.354509
08.12.2015,12:23:23,CUSTOMER_CANCEL_AFTER_TRIP,-71.12493,42.354455
08.12.2015,12:52:25,CUSTOMER_CANCEL_AFTER_TRIP,-71.072454,42.302659
08.12.2015,14:45:16,CUSTOMER_CANCEL_AFTER_TRIP,-71.058076,42.353425
08.12.2015,17:21:27,CUSTOMER_CANCEL_AFTER_TRIP,-71.113725,42.300812
08.12.2015,19:34:01,CUSTOMER_CANCEL_AFTER_TRIP,-71.056269,42.358875
08.12.2015,21:07:33,CUSTOMER_CANCEL_AFTER_TRIP,-71.040465,42.314628
08.12.2015,21:14:30,CUSTOMER_CANCEL_AFTER_TRIP,-71.158557,42.318664
08.12.2015,21:34:33,CUSTOMER_CANCEL_AFTER_TRIP,-71.108969,42.350424
09.12.2015,02:16:28,CUSTOMER_CANCEL_AFTER_TRIP,-71.076206,42.336151
09.12.2015,16:56:03,CUSTOMER_CANCEL_AFTER_TRIP,-71.059916,42.356284
09.12.2015,18:58:27,CUSTOMER_CANCEL_AFTER_TRIP,-71.100138,42.344091
09.12.2015,22:12:04,CUSTOMER_CANCEL_AFTER_TRIP,-71.049106,42.3511
10.12.2015,04:45:08,CUSTOMER_CANCEL_AFTER_TRIP,-71.039992,42.337547
10.12.2015,18:14:04,CUSTOMER_CANCEL_AFTER_TRIP,-71.106262,42.342417
10.12.2015,20:34:14,CUSTOMER_CANCEL_AFTER_TRIP,-71.066308,42.375228
10.12.2015,23:41:37,CUSTOMER_CANCEL_AFTER_TRIP,-71.160396,42.353756
11.12.2015,00:59:36,CUSTOMER_CANCEL_AFTER_TRIP,-71.066446,42.352381
11.12.2015,03:09:26,CUSTOMER_CANCEL_AFTER_TRIP,-71.17685,42.331693
11.12.2015,11:49:18,CUSTOMER_CANCEL_AFTER_TRIP,-71.057711,42.3578
11.12.2015,11:57:22,CUSTOMER_CANCEL_AFTER_TRIP,-71.093988,42.315583
11.12.2015,14:58:37,CUSTOMER_CANCEL_AFTER_TRIP,-71.088425,42.311675
11.12.2015,16:25:39,CUSTOMER_CANCEL_AFTER_TRIP,-71.055238,42.337113
11.12.2015,16:36:53,CUSTOMER_CANCEL_AFTER_TRIP,-71.122345,42.344044
11.12.2015,18:40:55,CUSTOMER_CANCEL_AFTER_TRIP,-71.065758,42.37476
11.12.2015,18:58:07,CUSTOMER_CANCEL_AFTER_TRIP,-71.057674,42.350534
11.12.2015,19:21:40,CUSTOMER_CANCEL_AFTER_TRIP,-71.071501,42.358806
11.12.2015,21:16:12,CUSTOMER_CANCEL_AFTER_TRIP,-71.093206,42.331265
11.12.2015,22:33:11,CUSTOMER_CANCEL_AFTER_TRIP,-71.080586,42.349519
11.12.2015,23:05:48,CUSTOMER_CANCEL_AFTER_TRIP,-71.053774,42.327482
11.12.2015,23:38:10,CUSTOMER_CANCEL_AFTER_TRIP,-70.992459,42.410548
12.12.2015,00:14:39,CUSTOMER_CANCEL_AFTER_TRIP,-71.067747,42.350972
12.12.2015,00:31:51,CUSTOMER_CANCEL_AFTER_TRIP,-71.056337,42.359071
12.12.2015,02:00:21,CUSTOMER_CANCEL_AFTER_TRIP,-71.06583,42.349946
12.12.2015,02:26:31,CUSTOMER_CANCEL_AFTER_TRIP,-71.064182,42.353475
12.12.2015,10:10:57,CUSTOMER_CANCEL_AFTER_TRIP,-71.084474,42.300566
12.12.2015,12:21:05,CUSTOMER_CANCEL_AFTER_TRIP,-71.057129,42.350343
12.12.2015,12:51:46,CUSTOMER_CANCEL_AFTER_TRIP,-71.119082,42.365839
12.12.2015,13:17:00,CUSTOMER_CANCEL_AFTER_TRIP,-71.076379,42.36726
12.12.2015,13:28:56,CUSTOMER_CANCEL_AFTER_TRIP,-71.063639,42.344849
12.12.2015,15:43:08,CUSTOMER_CANCEL_AFTER_TRIP,-71.056815,42.361124
12.12.2015,18:52:11,CUSTOMER_CANCEL_AFTER_TRIP,-71.093914,42.286743
12.12.2015,21:07:23,CUSTOMER_CANCEL_AFTER_TRIP,-71.13413,42.250976
13.12.2015,00:00:43,CUSTOMER_CANCEL_AFTER_TRIP,-71.066391,42.352302
13.12.2015,00:31:34,CUSTOMER_CANCEL_AFTER_TRIP,-71.073863,42.346854
13.12.2015,01:02:30,CUSTOMER_CANCEL_AFTER_TRIP,-71.059726,42.35656
13.12.2015,05:51:09,CUSTOMER_CANCEL_AFTER_TRIP,-71.117141,42.285665
13.12.2015,11:52:39,CUSTOMER_CANCEL_AFTER_TRIP,-71.071858,42.342044
13.12.2015,14:18:34,CUSTOMER_CANCEL_AFTER_TRIP,-71.063523,42.357667
13.12.2015,15:14:43,CUSTOMER_CANCEL_AFTER_TRIP,-71.102371,42.330963
13.12.2015,15:51:46,CUSTOMER_CANCEL_AFTER_TRIP,-71.182051,42.366041
13.12.2015,22:51:23,CUSTOMER_CANCEL_AFTER_TRIP,-71.089337,42.336917
07.12.2015,00:00:32,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.05982,42.350033
07.12.2015,00:03:34,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.067105,42.301935
07.12.2015,00:04:07,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.056755,42.350311
07.12.2015,00:06:03,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.071375,42.344261
07.12.2015,00:11:14,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.065544,42.349964
07.12.2015,00:29:50,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.087745,42.349526
07.12.2015,01:03:39,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.064978,42.350925
07.12.2015,01:06:11,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.091022,42.350475
07.12.2015,02:05:23,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.148314,42.285522
07.12.2015,02:06:48,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.087972,42.340907
07.12.2015,02:48:21,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.040251,42.316517
07.12.2015,02:49:15,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.084336,42.350077
07.12.2015,03:00:28,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.057133,42.350291
07.12.2015,03:20:36,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.053734,42.328439
07.12.2015,03:57:54,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.104792,42.421271
07.12.2015,04:18:19,CUSTOMER_CANCEL_BEFORE_ARRIVE,-71.101302,42.336462
